14110 [main] INFO  log.Log - Обработка запроса
14110 [main] INFO  log.Log - Клиент спрашивает, нужен ли объект коллекции для обработки этой команды
14110 [main] INFO  log.Log - Формирование запроса с отрицательным ответом
14110 [main] INFO  log.Log - Отправка запроса
14110 [main] INFO  log.Log - Сериализация ответа
14111 [main] INFO  log.Log - Запрос отправлен
14112 [main] INFO  log.Log - Request{commandName='help', studygroup=null}
14112 [main] INFO  log.Log - Открыт канал на порте 7182
14145 [main] INFO  log.Log - Соединен с клиентом по адресу /127.0.0.1:50385
14145 [main] INFO  log.Log - Десериализация запроса
14145 [main] INFO  log.Log - Получен запрос
14145 [main] INFO  log.Log - Обработка запроса
14145 [main] INFO  log.Log - Попытка обработать команду help
14145 [main] INFO  log.Log - Отправка запроса
14145 [main] INFO  log.Log - Сериализация ответа
14145 [main] INFO  log.Log - Запрос отправлен
14146 [main] INFO  log.Log - Request{commandName='help', studygroup=null}
14146 [main] INFO  log.Log - Открыт канал на порте 7182
